engine,n_policies,run,sample_ms
kyverno,15,2,12.188
kyverno,15,2,12.309
kyverno,15,2,12.882
kyverno,15,2,12.745
kyverno,15,2,12.953
kyverno,15,2,12.167
kyverno,15,2,72.350
kyverno,15,2,12.780
kyverno,15,2,12.934
kyverno,15,2,13.204
kyverno,15,2,11.925
kyverno,15,2,11.794
kyverno,15,2,12.301
kyverno,15,2,12.111
kyverno,15,2,12.148
kyverno,15,2,12.208
kyverno,15,2,13.740
kyverno,15,2,12.494
kyverno,15,2,12.798
kyverno,15,2,14.797
kyverno,15,2,18.096
kyverno,15,2,14.034
kyverno,15,2,13.176
kyverno,15,2,12.695
kyverno,15,2,12.548
kyverno,15,2,12.606
kyverno,15,2,12.621
kyverno,15,2,12.767
kyverno,15,2,82.882
kyverno,15,2,13.130
kyverno,15,2,13.764
kyverno,15,2,13.291
kyverno,15,2,12.549
kyverno,15,2,11.902
kyverno,15,2,12.044
kyverno,15,2,12.671
kyverno,15,2,13.126
kyverno,15,2,14.179
kyverno,15,2,12.237
kyverno,15,2,12.218
kyverno,15,2,15.215
kyverno,15,2,14.802
kyverno,15,2,24.438
kyverno,15,2,16.872
kyverno,15,2,13.474
kyverno,15,2,12.275
kyverno,15,2,45.421
kyverno,15,2,12.311
kyverno,15,2,11.846
kyverno,15,2,13.477
kyverno,15,2,16.159
kyverno,15,2,14.428
kyverno,15,2,72.803
kyverno,15,2,13.933
kyverno,15,2,13.329
kyverno,15,2,12.611
kyverno,15,2,12.092
kyverno,15,2,13.821
kyverno,15,2,14.942
kyverno,15,2,14.251
kyverno,15,2,13.365
kyverno,15,2,14.064
kyverno,15,2,14.518
kyverno,15,2,15.230
kyverno,15,2,16.113
kyverno,15,2,88.017
kyverno,15,2,17.586
kyverno,15,2,16.910
kyverno,15,2,14.031
kyverno,15,2,12.809
kyverno,15,2,13.397
kyverno,15,2,13.118
kyverno,15,2,12.336
kyverno,15,2,12.157
kyverno,15,2,12.320
kyverno,15,2,12.686
kyverno,15,3,20.278
kyverno,15,3,17.589
kyverno,15,3,17.580
kyverno,15,3,16.285
kyverno,15,3,12.853
kyverno,15,3,12.809
kyverno,15,3,11.665
kyverno,15,3,11.509
kyverno,15,3,42.265
kyverno,15,3,13.390
kyverno,15,3,13.874
kyverno,15,3,14.095
kyverno,15,3,13.344
kyverno,15,3,13.219
kyverno,15,3,17.514
kyverno,15,3,13.305
kyverno,15,3,13.566
kyverno,15,3,13.460
kyverno,15,3,13.075
kyverno,15,3,61.492
kyverno,15,3,16.104
kyverno,15,3,15.102
kyverno,15,3,14.997
kyverno,15,3,16.406
kyverno,15,3,80.625
kyverno,15,3,15.262
kyverno,15,3,14.582
kyverno,15,3,16.255
kyverno,15,3,15.318
kyverno,15,3,13.087
kyverno,15,3,85.317
kyverno,15,3,14.183
kyverno,15,3,15.350
kyverno,15,3,14.428
kyverno,15,3,13.163
kyverno,15,3,12.573
kyverno,15,3,13.538
kyverno,15,3,15.899
kyverno,15,3,13.231
kyverno,15,3,12.563
kyverno,15,3,13.392
kyverno,15,3,13.260
kyverno,15,3,16.189
kyverno,15,3,14.364
kyverno,15,3,13.413
kyverno,15,3,13.844
kyverno,15,3,13.983
kyverno,15,3,16.327
kyverno,15,3,13.807
kyverno,15,3,14.893
kyverno,15,3,13.408
kyverno,15,3,13.847
kyverno,15,3,13.380
kyverno,15,3,12.030
kyverno,15,3,13.086
kyverno,15,3,11.862
kyverno,15,3,13.597
kyverno,15,3,12.750
kyverno,15,3,15.431
kyverno,15,3,12.950
kyverno,15,3,11.932
kyverno,15,3,12.647
kyverno,15,3,12.652
kyverno,15,3,12.146
kyverno,15,3,11.913
kyverno,15,3,11.485
kyverno,15,3,13.033
kyverno,15,3,13.584
kyverno,15,3,12.219
kyverno,15,3,12.190
kyverno,15,3,11.816
kyverno,15,3,12.106
kyverno,15,3,12.679
kyverno,15,3,13.836
kyverno,15,3,12.870
kyverno,15,3,12.524
kyverno,15,3,12.345
kyverno,15,3,11.836
kyverno,15,3,12.195
kyverno,15,3,12.828
